EVAN Toolbox
Principal Component Analysis (PCA)

Date:	Thu Aug 6 2020
Time:	19:17:40

	Eigenvalues	Variance (%)	Cumulative Variance (%)
PC 1	0.00172313	30.5013	30.5013
PC 2	0.000872268	15.4401	45.9415
PC 3	0.000608193	10.7657	56.7072
PC 4	0.000409184	7.24302	63.9502
PC 5	0.000298427	5.2825	69.2327
PC 6	0.000225202	3.98633	73.219
PC 7	0.000197421	3.49459	76.7136
PC 8	0.000162525	2.87688	79.5905
PC 9	0.000147498	2.61088	82.2014
PC 10	0.000135529	2.39903	84.6004
PC 11	0.000106001	1.87634	86.4767
PC 12	9.61506e-005	1.70198	88.1787
PC 13	8.64087e-005	1.52953	89.7083
PC 14	7.47137e-005	1.32252	91.0308
PC 15	6.74017e-005	1.19309	92.2239
PC 16	6.18931e-005	1.09558	93.3194
PC 17	5.73627e-005	1.01539	94.3348
PC 18	5.11592e-005	0.905576	95.2404
PC 19	4.52138e-005	0.800337	96.0407
PC 20	3.87843e-005	0.686527	96.7273
PC 21	3.27071e-005	0.578953	97.3062
PC 22	3.02786e-005	0.535966	97.8422
PC 23	2.83969e-005	0.502658	98.3448
PC 24	2.36186e-005	0.418077	98.7629
PC 25	2.27182e-005	0.402138	99.1651
PC 26	1.90352e-005	0.336944	99.502
PC 27	1.59603e-005	0.282515	99.7845
PC 28	1.21736e-005	0.215486	100
PC 29	2.45743e-033	4.34994e-029	100

PC Scores
	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29
PT_0003081_F	-0.0117582	-0.0524596	-0.00901682	0.00490137	0.0110784	0.0119171	0.0288283	-0.00442722	0.00956003	-0.00162853	-0.00684876	0.010437	0.000299783	0.00302598	0.0044621	0.00577352	-0.000488696	-0.0181009	0.00176366	0.00266393	0.00523322	-0.00296516	0.00724315	0.00193307	0.00233562	-0.0038844	0.000710761	-0.00715422	5.00927e-017
PT_0176227_F	0.021562	-0.0018705	0.0174789	-0.0181187	0.0274808	-0.0137615	0.00729689	0.0185457	-0.0124092	0.0158635	0.00216712	-0.00236645	-0.0124189	-0.00800424	-0.00731162	-0.0106834	-0.0130072	-0.00526082	-0.0149764	0.00176181	-0.000349736	0.00270032	-0.00265669	0.00273123	-0.00168848	-0.00538055	-0.00250707	-0.000655911	4.70335e-017
PT_0010913_F	0.103323	-0.0107119	0.0183882	-0.0160944	-0.0412422	-0.00945229	-0.0122729	-0.0116679	0.00660668	-0.00179908	0.0017702	0.0212891	0.00754117	-0.00187866	-0.000790021	-0.00574441	-0.000663398	-0.00386132	-0.00688665	0.00589921	-0.00655109	0.00116181	0.000312762	-0.00455121	0.00465985	-0.000223934	-0.000413535	-0.000847157	5.00789e-017
PT_0003990_F	-0.0383503	0.00761532	0.0246017	0.0143211	-0.00677872	0.0110941	-0.000800903	-0.00313768	0.0310331	0.0142536	-0.0052775	0.00889043	0.00163375	-0.015006	-0.00047509	-0.00223537	0.000597336	0.00145896	-0.000787497	0.00419683	0.0145346	0.00191049	-0.00878254	0.00160656	-0.00198163	0.0017916	2.71875e-005	0.00405321	4.82888e-017
PT_0220064_F	-0.00841223	-0.0251429	0.00687479	-0.0573005	-0.0122606	0.0133227	-0.0163563	0.00128294	-0.0133938	0.0112366	-0.0153194	-0.00419574	-0.0028146	0.00424017	0.000945304	-0.00211353	-0.00374403	-0.00429186	0.00603332	-0.00136603	0.00258356	-0.0121319	-0.000913348	0.00318039	-0.00246897	0.00593589	0.00422541	0.00200041	4.78194e-017
PT_0010824_F	-0.0585015	-0.0370995	0.00522642	-0.0178957	0.0238551	-0.0022444	-0.0122276	-0.028022	-0.00875024	0.0124434	0.00277779	0.00624331	0.0130447	-0.000645638	-0.00717134	0.00245397	0.0114243	0.00906898	-0.00142619	0.00339608	-0.00508607	0.00542199	-0.000930448	0.000801935	-0.00746113	-0.00251692	-0.000731275	-0.00396025	4.85617e-017
PT_0220326_M	0.016319	-0.0413659	-0.0263252	0.00293781	0.0108469	-0.00871088	-0.00517452	0.0147399	0.0116501	0.00126453	-0.01223	-0.00691029	0.00250659	-0.0049037	0.0175566	-0.00848957	-0.0068783	0.0152174	0.00252081	0.00277433	-0.00266813	0.0073784	0.00261652	-0.000920761	0.00299168	0.0025231	0.00684384	-0.00337623	4.60369e-017
PT_0003991_F	0.0272607	-0.0198714	0.0179669	0.0071997	-0.0186773	0.00192495	-0.00716682	0.0162397	-0.0101944	0.00915868	0.0114577	-0.00341656	-0.00152882	-0.0217625	0.00255446	0.0100475	0.0045666	0.00266814	0.00964757	-0.00940965	0.0022226	-0.00200461	0.00722741	-0.0056868	-0.00399638	-0.00699657	-0.00053335	-0.000473051	4.87627e-017
M Mean	-0.0152321	0.00680207	-0.0155646	0.00455081	-0.00658948	-0.00419074	0.000707251	0.0016135	-0.000126837	-0.00208495	-0.00107077	-0.00068769	-0.00262265	0.00153466	0.00120438	-0.000968049	0.000587196	0.00157328	-0.000624974	0.000339104	-0.000735433	-0.000174148	-0.000284873	-0.000116278	-0.000464574	-0.000343101	0.000361215	-0.00019528	4.84977e-017
F Mean	0.0123761	-0.00552668	0.0126463	-0.00369754	0.00535395	0.00340498	-0.000574642	-0.00131097	0.000103055	0.00169402	0.000870002	0.000558748	0.0021309	-0.00124691	-0.000978556	0.00078654	-0.000477097	-0.00127829	0.000507792	-0.000275522	0.000597539	0.000141495	0.00023146	9.44758e-005	0.000377466	0.00027877	-0.000293487	0.000158665	4.88641e-017

PC Loadings
	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29
x1	-0.0171586	-0.012486	0.00710844	0.00247192	0.0304528	-0.0224037	0.0693642	0.00668104	-0.00176968	0.0840984	-0.0263233	0.0489554	-0.0631442	0.0671884	0.00269093	-0.0409731	0.0391128	0.101968	-0.0212195	0.0634277	-0.0493282	-0.139349	0.16668	-0.0365331	-0.0227288	0.0401806	0.107322	-0.0593315	-0.0587656
y1	-0.0353996	-0.0827064	-0.0392645	-0.183035	0.0691711	-0.110702	0.29595	0.105561	0.22628	-0.0381146	0.0876201	-0.117278	0.00511643	0.189549	0.0730484	0.0478185	0.00909881	0.163183	-0.0813401	0.015754	-0.0964044	0.0196752	0.00549159	0.07167	-0.0212423	0.00650479	0.105673	-0.0250657	0.0743425
z1	-0.0695404	0.0353668	0.0279062	0.0257254	-0.00425626	0.0665501	-0.0866031	-0.0470097	0.00391593	0.0128401	0.0314773	-0.099003	-0.00469451	-0.0337027	0.0166643	0.0658593	0.00617343	-0.0389437	0.0837931	-0.0380885	0.00140273	-0.0887496	-0.0806846	0.106499	0.0516596	-0.0319296	-0.0639035	0.0465384	-0.01293
x2	-0.0468246	-0.00832449	-0.0170067	-0.00362767	0.0165985	-0.0417929	-0.022891	-0.0242697	-0.072357	0.0618994	-0.0813175	-0.0334997	-0.0105918	0.0533539	-0.0173937	0.0112194	-0.0335349	-0.0130215	-0.0397488	-0.119463	-0.0238313	-0.0305527	0.0541384	0.0152246	0.0457728	0.0497402	-0.0260416	0.0282717	-0.0463408
y2	-0.0100848	-0.110667	-0.00878252	-0.0883405	0.125657	-0.0571542	0.0425727	0.15797	0.0719849	0.0157409	0.211086	-0.101872	-0.0437342	0.0157341	0.127036	0.00174736	0.076259	-0.143998	0.0805767	-0.00373873	-0.123269	0.112539	0.0516336	-0.138902	0.0160713	0.0596531	0.109677	0.0173181	-0.0189634
z2	-0.0960382	0.0368352	-0.000679391	-0.0201916	0.046524	0.0445945	-0.011915	-0.0620294	0.0343668	0.0339319	0.131201	-0.0973177	0.0660469	-0.0143483	0.0340292	0.126101	0.0705956	-0.0104365	-0.032471	-0.111424	-0.00388503	0.0354287	-0.0571649	-0.121211	0.0508601	0.0767324	0.0617363	-0.0120958	0.010393
x3	-0.0692225	-0.0211284	-0.107985	0.069693	-0.0200325	-0.0459844	-0.0396742	0.0238379	0.0294434	-0.0602396	-0.0479475	0.0117211	0.0707756	-0.0103687	0.0640443	0.0349233	0.0248491	0.00502577	0.00045293	-0.0122347	-0.0646219	0.0459382	0.0197734	0.000360414	0.0503438	-0.0203165	0.00110087	-0.0553879	0.0375287
y3	0.0205557	0.0367892	0.0284092	0.0173151	-0.0292218	-0.131647	-0.110654	-0.0788136	-0.0690167	0.0288751	-0.095701	-0.0584526	-0.151331	-0.0022925	-0.0429841	-0.0115654	0.106118	-0.0155207	0.125231	0.104277	0.00711399	0.0225002	0.0168154	0.103452	-0.113332	-0.0332934	-0.115947	-0.0360125	0.0332772
z3	-0.0714029	0.0265471	-0.0212928	-0.0302597	0.0646726	0.0052036	0.00269461	-0.0464252	-0.00370386	0.0176187	0.0560205	0.0271026	-0.0223485	0.000812266	0.0240046	-0.0476649	-0.0373084	-0.00413653	-0.0451984	-0.0270404	0.00904901	-0.00878152	-0.0411412	-0.0213434	0.0434702	-0.021521	-0.00934821	0.0559627	0.0118617
x4	-0.0139666	0.00770113	-0.00583918	-0.00529683	0.0106639	0.0255451	0.0226137	0.00262875	-0.0473925	0.0209769	-0.0140891	-0.0310831	-0.0142085	0.0457651	-0.0128125	-0.00939404	0.0327004	0.0372224	-0.0111979	-0.0577241	-0.0114053	0.0159633	0.0351782	0.0112933	-0.0398524	0.00910503	0.0361131	-0.092874	-0.00497987
y4	0.0792898	0.00243332	-0.0271768	-0.00347622	-0.0205563	0.00755331	-0.00646458	-0.00687676	-0.031967	0.0788044	-0.0115674	0.0331978	-0.0397056	0.11275	0.21527	-0.00746797	-0.0567714	0.0514653	0.0916623	0.00298206	0.0879978	-0.0338725	0.114796	0.0581706	0.0539105	-0.0728783	0.0565815	-0.021034	-0.0641124
z4	0.0249738	0.0533614	-0.0685903	-0.0452032	-0.0427388	0.0669132	0.1308	0.0914054	-0.077308	0.00839949	0.148404	0.0910759	-0.00474382	-0.17929	-0.0288236	0.0580781	-0.00746942	-0.0116	0.00886714	0.0308936	0.0402812	-0.0631049	0.0155353	0.0467457	0.0634071	-0.0777509	0.094151	0.0953303	-0.0167868
x5	-0.00279601	0.00906483	0.000998098	-0.00748037	-0.0135149	-0.0179645	-0.00315136	0.0165147	-0.0262957	0.0229296	-0.0309469	-0.00632657	0.0105099	-0.00636969	0.0200779	-0.013988	0.00247609	-0.0327387	-0.00136016	-0.0261812	-0.0195368	0.00270057	0.0439073	-0.0401932	0.0510303	0.032913	0.0219322	-0.00272141	-0.00763321
y5	0.0344241	0.0153562	0.0317774	-0.0897237	0.0291893	0.0894396	-0.0313658	-0.00983685	0.00876391	0.0892145	-0.153617	-0.0421883	0.0156141	0.041915	0.0442539	0.034971	0.0972984	-0.197849	-0.0777319	-0.0687704	-0.0405972	-0.0354656	0.0844382	-0.0640059	0.00989078	0.0716776	0.0394797	0.0303349	0.0719776
z5	0.0552298	-0.0446642	-0.0201536	-0.0187057	-0.00650037	0.116428	0.121118	0.116467	-0.0856938	0.132082	-0.063387	0.0663185	0.0700063	-0.0810831	0.0517994	0.00613793	0.108539	-0.0777935	0.063977	0.0431498	0.0321568	-0.0109619	0.0522502	-0.0294293	-0.0166794	0.0543494	-0.15673	-0.0687777	0.0135523
x6	0.00642842	-0.00341055	0.0572428	0.103595	0.0140327	-0.00378564	0.0420135	0.0794896	0.0119525	0.0392156	-0.0285257	-0.0560117	-0.0129555	0.00719031	0.0945091	-0.104185	0.12591	-0.141655	-0.115662	0.0724469	0.0736434	-0.0283889	0.0614074	0.012355	0.0428599	-0.0901614	0.0058578	0.0918808	-0.0288826
y6	-0.0560253	-0.0733848	-0.0603298	0.076241	-0.0389638	-0.0639128	-0.070063	0.0840848	-0.0394164	0.0771923	0.0132062	0.114635	-0.0835954	0.114363	-0.0560521	-0.0159164	0.0802709	-0.0120638	-0.021661	0.0189573	-0.122846	0.0384134	-0.0579746	-0.014802	-0.100475	-0.166248	-0.123753	-0.0230936	0.0984533
z6	-0.0199701	0.00838353	0.105022	0.0905978	0.00310392	0.0492642	-0.116508	0.0829031	0.136192	0.084503	0.0202441	0.0171299	-0.0471705	-0.0238697	0.0161114	-0.00430996	0.0147376	-0.0526342	0.0155581	0.00843174	-0.00239436	-0.0443961	0.106377	-0.00569399	0.0304944	0.0287222	-0.0392991	0.0491372	0.0151688
x7	-0.0344689	-0.0121533	0.0396446	-0.054487	0.0230593	-0.00659062	0.0102972	0.0813677	-0.0462976	0.0918047	-0.0259527	-0.00994471	-0.0655529	0.0610906	0.0165319	0.0024331	-0.0851022	0.00856959	-0.0876961	-0.0367785	0.0612266	-0.0109227	-0.0508931	0.0439496	-0.0181952	0.025243	-0.0423376	-0.04697	0.0267808
y7	-0.0346421	-0.0962666	0.137461	-0.154606	0.182328	0.0349955	-0.0960018	0.130235	-0.0636293	0.0384547	-0.00602723	0.111017	0.0485389	-0.00624855	0.000880808	-0.113278	-0.0355263	-0.067033	0.0955987	-0.00515464	0.164853	0.104842	-0.0837583	-0.114803	-0.048673	-0.0352134	-0.106956	0.0654003	0.0451429
z7	-0.102029	0.0505713	0.0209288	-0.0445884	0.0644414	0.0979718	-0.0830787	-0.0182674	0.0249537	0.0991476	0.0692391	-0.0751146	0.0239613	0.0323201	0.0485189	0.055557	0.0831834	0.0763259	0.0066921	-0.0516779	0.13975	-0.0744178	-0.0757696	-0.0225967	-0.0575691	-0.0692691	0.0248336	0.000397946	-0.00200426
x8	-0.0343233	-0.0158491	0.00725302	-0.0102194	0.0813932	-0.0253105	-0.0293384	0.0531528	-0.0262013	0.0755139	-0.03901	-0.0537514	-0.0380129	0.0197736	0.00701492	0.0293095	-0.084946	0.0692348	0.00133477	-0.0815093	-0.0437282	-0.0742299	0.0968722	0.04333	0.0236477	-0.0639712	-0.0433282	0.013119	-0.0570415
y8	-0.00597835	-0.0853758	0.100649	-0.0847494	0.188289	-0.0440893	-0.0804878	0.0384999	-0.0225552	0.00980904	-4.51278e-005	0.054558	0.080271	-0.0397352	0.0538586	-0.0669147	-0.00967583	0.0746552	0.0168813	0.0171827	0.01454	-0.0299727	0.0533226	0.0918534	0.0615277	-0.0533674	-0.0137789	-0.0220497	-0.0329588
z8	-0.110213	0.0478431	0.000726776	0.000501218	0.02356	0.0562509	-0.048797	-0.044004	0.0187842	0.0600878	0.0867817	-0.0117166	0.0492244	0.0251508	0.039144	-0.0365787	0.119374	0.0612105	0.0560693	-0.0373158	0.0248528	-0.0672442	-0.0574294	-0.0721189	-0.000131925	-0.0370995	-0.0140937	-0.0501003	0.00735927
x9	-0.0459925	-0.0230606	-0.067146	0.0384136	0.0255714	-0.0375923	-0.0130376	0.0336298	0.034446	-0.0194164	0.000733881	-0.0491937	0.0657918	-0.0376832	-0.0367244	0.00242817	0.00520033	-0.0833937	-0.00459793	-0.049191	0.0123075	-0.069562	-0.01839	0.0475267	0.0224665	-0.0432289	-0.0737846	-0.00656177	0.0726629
